ID,Route
20714,"Shenzhen,Hong Kong,Shenzhen,Kaohsiung,Vancouver (Canada),Seattle,Busan,Kaohsiung,Shenzhen"
20722,"Xiamen,Kaohsiung,Hong Kong,Shenzhen,Colon,NewYork-NewJersey,Baltimore,Norfolk,Suez Canal,Xiamen"
20724,"Qingdao,Ningbo-Zhoushan,Shanghai,Busan,Savannah,Charleston,NewYork-NewJersey,Colon,Qingdao"
20725,"Hong Kong,Shenzhen,Ningbo-Zhoushan,Shanghai,NewYork-NewJersey,Norfolk,Savannah,Charleston,Suez Canal,Hong Kong"
20726,"Singapore,Hong Kong,Shenzhen,Shanghai,Ningbo-Zhoushan,Busan,Houston,Mobile,New Orleans,Miami,Jacksonville,Suez Canal,Singapore"
20727,"Shanghai,Ningbo-Zhoushan,Xiamen,Shenzhen,Houston,Mobile,Shanghai"
20751,"Kobe,Nagoya,Tokyo,Sendai,Los Angeles,Oakland,Tokyo,Nagoya,Kobe"
20752,"Kobe,Nagoya,Shimizu,Tokyo,Long Beach,Oakland,Tokyo,Kobe"
20753,"Singapore,Laem Chabang,Ho Chi Minh City,Hong Kong,Los Angeles,Oakland,Tokyo,Hong Kong,Singapore"
20754,"Shenzhen,Hong Kong,Shenzhen,Kaohsiung,Keelung,Los Angeles,Oakland,Keelung,Kaohsiung,Shenzhen"
20755,"Shanghai,Ningbo-Zhoushan,Los Angeles,Oakland,Shanghai"
20756,"Busan,Qingdao,Ningbo-Zhoushan,Shanghai,Busan,Long Beach,Oakland,Busan"
20757,"Xiamen,Hong Kong,Shenzhen,Los Angeles,Xiamen"
20758,"Busan,Kwangyang,Dalian,Tianjin,Qingdao,Busan,Los Angeles,Oakland,Busan"
20771,"Qingdao,Shanghai,Nagoya,Tokyo,Tacoma,Vancouver (Canada),Tokyo,Nagoya,Kobe,Qingdao"
20772,"Singapore,Laem Chabang,Ho Chi Minh City,Kaohsiung,Shenzhen,Tacoma,Vancouver (Canada),Tokyo,Kobe,Kaohsiung,Singapore"
20773,"Hong Kong,Shenzhen,Ningbo-Zhoushan,Shanghai,Busan,Vancouver (Canada),Seattle,Busan,Hong Kong"
20781,"Ningbo-Zhoushan,Shanghai,Busan,Tokyo,Manzanillo (Pan),Savannah,Jacksonville,Charleston,Norfolk,Manzanillo (Pan),Balboa,Los Angeles,Oakland,Tokyo,Kobe,Ningbo-Zhoushan"
20782,"Qingdao,Ningbo-Zhoushan,Shanghai,Busan,NewYork-NewJersey,Boston,Wilmington (NC),Savannah,Busan,Qingdao"
20783,"Kaohsiung,Xiamen,Hong Kong,Shenzhen,Shanghai,Savannah,Charleston,Norfolk,Balboa,Busan,Kaohsiung"
20784,"Kaohsiung,Hong Kong,Shenzhen,Ho Chi Minh City,Singapore,Suez Canal,NewYork-NewJersey,Norfolk,Savannah,Jacksonville,Charleston,Suez Canal,Singapore,Kaohsiung"
20785,"Laem Chabang,Ho Chi Minh City,Singapore,Colombo,Suez Canal,Halifax,NewYork-NewJersey,Savannah,Norfolk,Halifax,Suez Canal,Jebel Ali,Singapore,Laem Chabang"
22808,"Qingdao,Shanghai,Busan,Los Angeles,Oakland,Dutch Harbor,Yokohama,Busan,Naha,Qingdao"
26501,"Qingdao,Shanghai,Ningbo-Zhoushan,Los Angeles,Oakland,Qingdao"
26502,"Xiamen,Guangzhou,Hong Kong,Shenzhen,Long Beach,Xiamen"
26675,"Qingdao,Ningbo-Zhoushan,Shanghai,Busan,Kingston,Savannah,Charleston,Norfolk,NewYork-NewJersey,Halifax,Kingston,Qingdao"
26677,"Kaohsiung,Shenzhen,Shenzhen,Ho Chi Minh City,Port Kelang,Colombo,Suez Canal,NewYork-NewJersey,Norfolk,Wilmington (NC),Savannah,Suez Canal,Port Kelang,Kaohsiung"
27011,"Qingdao,Ningbo-Zhoushan,Shanghai,Kwangyang,Busan,Long Beach,Tacoma,Busan,Kwangyang,Inchon,Qingdao"
27012,"Laem Chabang,Ho Chi Minh City,Hong Kong,Shenzhen,Kaohsiung,Busan,Los Angeles,Oakland,Busan,Kaohsiung,Hong Kong,Laem Chabang"
27014,"Hong Kong,Shenzhen,Kaohsiung,Shanghai,Busan,Tacoma,Vancouver (US),Tokyo,Busan,Kaohsiung,Hong Kong"
27021,"Ningbo-Zhoushan,Shanghai,Kwangyang,Busan,Long Beach,Busan,Kwangyang,Ningbo-Zhoushan"
30640,"Port Said,Beirut,Gioia Tauro,La Spezia,Genoa,Fos,Barcelona,Valencia,Marsaxlokk,Salalah,Singapore,Shenzhen,Shanghai,Dalian,Tianjin,Busan,Ningbo-Zhoushan,Shanghai,Shenzhen,Shenzhen,Singapore,Port Said"
30641,"Marsaxlokk,Barcelona,Valencia,La Spezia,Gioia Tauro,Port Said,King Abdullah,Jebel Ali,Singapore,Shenzhen,Xiamen,Qingdao,Busan,Ningbo-Zhoushan,Shanghai,Xiamen,Guangzhou,Shenzhen,Shenzhen,Singapore,Marsaxlokk"
30645,"Yarimca,Istanbul,Tekirdag,Piraeus,King Abdullah,Jebel Ali,Singapore,Shenzhen,Qingdao,Busan,Shanghai,Ningbo-Zhoushan,Xiamen,Shenzhen,Singapore,King Abdullah,Yarimca"
30651,"Felixstowe,Rotterdam,Southampton,Bremerhaven,Rotterdam,Tangier,Salalah,Colombo,Singapore,Ningbo-Zhoushan,Shanghai,Hong Kong,Shenzhen,Tanjung Pelepas,Colombo,Felixstowe"
30652,"Felixstowe,Antwerp,Rotterdam,Algeciras,Singapore,Hong Kong,Shenzhen,Tianjin,Qingdao,Busan,Shanghai,Ningbo-Zhoushan,Shenzhen,Tanjung Pelepas,Algeciras,Felixstowe"
